S.N.,page_number,x0,y0,x1,y1,width,height
148,21,283.5628662109375,335.09942626953125,303.7689208984375,355.30548095703125,107,107
149,21,307.9719543457031,335.2873840332031,328.1780090332031,355.4934387207031,107,107
150,21,331.85894775390625,335.09942626953125,352.06500244140625,355.30548095703125,107,107
151,21,356.2191162109375,335.2873840332031,376.4251708984375,355.4934387207031,107,107
152,21,380.1550598144531,335.09942626953125,400.3611145019531,355.30548095703125,107,107
153,21,404.46624755859375,335.2873840332031,424.67230224609375,355.4934387207031,107,107
154,21,428.4511413574219,335.09942626953125,448.6571960449219,355.30548095703125,107,107
155,21,452.7134094238281,335.2873840332031,472.9194641113281,355.4934387207031,107,107
156,21,476.74725341796875,335.09942626953125,496.95330810546875,355.30548095703125,107,107
157,21,114.98335266113281,367.1230163574219,135.18939208984375,387.3290710449219,107,107
158,21,139.3271942138672,367.07928466796875,159.53323364257812,387.28533935546875,107,107
159,21,163.23049926757812,367.1230163574219,183.43653869628906,387.3290710449219,107,107
160,21,187.623291015625,367.07928466796875,207.82933044433594,387.28533935546875,107,107
161,21,211.4776611328125,367.1230163574219,231.68370056152344,387.3290710449219,107,107
162,21,235.91940307617188,367.07928466796875,256.1254577636719,387.28533935546875,107,107
163,21,259.72479248046875,367.1230163574219,279.93084716796875,387.3290710449219,107,107
164,21,283.5628662109375,367.07928466796875,303.7689208984375,387.28533935546875,107,107
165,21,307.9719543457031,367.1230163574219,328.1780090332031,387.3290710449219,107,107
166,21,331.85894775390625,367.07928466796875,352.06500244140625,387.28533935546875,107,107
167,21,356.2191162109375,367.1230163574219,376.4251708984375,387.3290710449219,107,107
168,21,380.1550598144531,367.07928466796875,400.3611145019531,387.28533935546875,107,107
169,21,404.46624755859375,367.1230163574219,424.67230224609375,387.3290710449219,107,107
170,21,428.4511413574219,367.07928466796875,448.6571960449219,387.28533935546875,107,107
171,21,452.7134094238281,367.1230163574219,472.9194641113281,387.3290710449219,107,107
172,21,476.74725341796875,367.07928466796875,496.95330810546875,387.28533935546875,107,107
173,21,114.98335266113281,398.9586181640625,135.18939208984375,419.1646728515625,107,107
174,21,139.3271942138672,399.05914306640625,159.53323364257812,419.26519775390625,107,107
175,21,163.23049926757812,398.9586181640625,183.43653869628906,419.1646728515625,107,107
176,21,187.623291015625,399.05914306640625,207.82933044433594,419.26519775390625,107,107
177,21,211.4776611328125,398.9586181640625,231.68370056152344,419.1646728515625,107,107
178,21,235.91940307617188,399.05914306640625,256.1254577636719,419.26519775390625,107,107
179,21,259.72479248046875,398.9586181640625,279.93084716796875,419.1646728515625,107,107
180,21,283.5628662109375,399.05914306640625,303.7689208984375,419.26519775390625,107,107
181,21,307.9719543457031,398.9586181640625,328.1780090332031,419.1646728515625,107,107
182,21,331.85894775390625,399.05914306640625,352.06500244140625,419.26519775390625,107,107
183,21,356.2191162109375,398.9586181640625,376.4251708984375,419.1646728515625,107,107
184,21,380.1550598144531,399.05914306640625,400.3611145019531,419.26519775390625,107,107
185,21,404.46624755859375,398.9586181640625,424.67230224609375,419.1646728515625,107,107
186,21,428.4511413574219,399.05914306640625,448.6571960449219,419.26519775390625,107,107
187,21,452.7134094238281,398.9586181640625,472.9194641113281,419.1646728515625,107,107
188,21,476.74725341796875,399.05914306640625,496.95330810546875,419.26519775390625,107,107
189,21,114.98335266113281,430.79425048828125,135.18939208984375,451.00030517578125,107,107
190,21,139.3271942138672,431.03900146484375,159.53323364257812,451.24505615234375,107,107
191,21,163.23049926757812,430.79425048828125,183.43653869628906,451.00030517578125,107,107
192,21,187.623291015625,431.03900146484375,207.82933044433594,451.24505615234375,107,107
193,21,211.4776611328125,430.79425048828125,231.68370056152344,451.00030517578125,107,107
194,21,235.91940307617188,431.03900146484375,256.1254577636719,451.24505615234375,107,107
195,21,259.72479248046875,430.79425048828125,279.93084716796875,451.00030517578125,107,107
196,21,283.5628662109375,431.03900146484375,303.7689208984375,451.24505615234375,107,107
197,21,307.9719543457031,430.79425048828125,328.1780090332031,451.00030517578125,107,107
198,21,331.85894775390625,431.03900146484375,352.06500244140625,451.24505615234375,107,107
199,21,356.2191162109375,430.79425048828125,376.4251708984375,451.00030517578125,107,107
200,21,380.1550598144531,431.03900146484375,400.3611145019531,451.24505615234375,107,107
201,21,404.46624755859375,430.79425048828125,424.67230224609375,451.00030517578125,107,107
202,21,428.4511413574219,431.03900146484375,448.6571960449219,451.24505615234375,107,107
203,21,452.7134094238281,430.79425048828125,472.9194641113281,451.00030517578125,107,107
204,21,476.74725341796875,431.03900146484375,496.95330810546875,451.24505615234375,107,107
205,21,114.98335266113281,462.6298522949219,135.18939208984375,482.8359069824219,107,107
206,21,139.3271942138672,462.3661804199219,159.53323364257812,482.5722351074219,107,107
207,21,163.23049926757812,462.6298522949219,183.43653869628906,482.8359069824219,107,107
208,21,187.623291015625,462.3661804199219,207.82933044433594,482.5722351074219,107,107
209,21,211.4776611328125,462.6298522949219,231.68370056152344,482.8359069824219,107,107
210,21,235.91940307617188,462.3661804199219,256.1254577636719,482.5722351074219,107,107
211,21,259.72479248046875,462.6298522949219,279.93084716796875,482.8359069824219,107,107
212,21,283.5628662109375,462.3661804199219,303.7689208984375,482.5722351074219,107,107
213,21,307.9719543457031,462.6298522949219,328.1780090332031,482.8359069824219,107,107
214,21,331.85894775390625,462.3661804199219,352.06500244140625,482.5722351074219,107,107
215,21,356.2191162109375,462.6298522949219,376.4251708984375,482.8359069824219,107,107
216,21,380.1550598144531,462.3661804199219,400.3611145019531,482.5722351074219,107,107
217,21,404.46624755859375,462.6298522949219,424.67230224609375,482.8359069824219,107,107
218,21,428.4511413574219,462.3661804199219,448.6571960449219,482.5722351074219,107,107
219,21,452.7134094238281,462.6298522949219,472.9194641113281,482.8359069824219,107,107
220,21,476.74725341796875,462.3661804199219,496.95330810546875,482.5722351074219,107,107
221,21,114.98335266113281,494.46612548828125,135.18939208984375,514.6721801757812,107,107
222,21,139.3271942138672,494.3460693359375,159.53323364257812,514.5521240234375,107,107
223,21,163.23049926757812,494.46612548828125,183.43653869628906,514.6721801757812,107,107
224,21,187.623291015625,494.3460693359375,207.82933044433594,514.5521240234375,107,107
225,21,211.4776611328125,494.46612548828125,231.68370056152344,514.6721801757812,107,107
226,21,235.91940307617188,494.3460693359375,256.1254577636719,514.5521240234375,107,107
227,21,259.72479248046875,494.46612548828125,279.93084716796875,514.6721801757812,107,107
228,21,283.5628662109375,494.3460693359375,303.7689208984375,514.5521240234375,107,107
229,21,307.9719543457031,494.46612548828125,328.1780090332031,514.6721801757812,107,107
230,21,331.85894775390625,494.3460693359375,352.06500244140625,514.5521240234375,107,107
231,21,356.2191162109375,494.46612548828125,376.4251708984375,514.6721801757812,107,107
